Date,East of England,West Midlands (England),South West (England),North West (England),Yorkshire and The Humber,South East (England),London,North East (England),Wales,East Midlands (England)
1995 Q2,1.0052451412703998,1.0008190562408867,1.0055684328985806,1.0023067997976078,1.0000491658466215,1.0065470713423148,1.014876170072413,1.0039695497818348,0.9998973114307174,1.004633533018662
1995 Q3,1.0025503454535203,0.9918058446203865,1.0000182223768934,0.9915065689060684,0.9941297351209691,1.0059802910454148,1.0175800212832142,0.99321386807249,0.9953599601764197,0.9999433407059745
1995 Q4,1.007261508884622,1.003808669061289,1.000985434176315,0.9915260894393161,0.9966589182544799,1.0122395469547811,1.0283114700080274,0.9995999507736543,0.9945603438653544,0.9983273400576802
1996 Q1,1.0008187466323695,0.9957072138855687,1.0051146882717379,0.9910423430400331,0.9881843918572855,1.0182378494690159,1.0396214135035422,0.9897556330679338,0.9926382176965423,0.9996203498119307
1996 Q2,1.0138024543079953,1.0040154232257092,1.0197100955429301,0.9915485903204377,0.9929683748704079,1.0295287689139934,1.0579717244814475,1.0060140455345703,1.0027498905351768,1.0054212450504063
1996 Q3,1.0271312066506155,1.0099688201759287,1.0306273946947961,0.990483796070785,0.989660523010628,1.0480906884220484,1.0766916026664968,0.9970902376696148,1.013540433574489,1.0148291339734188
1996 Q4,1.049201025666355,1.0276908900944344,1.0500365790073296,1.0032359626497418,1.0048001599147138,1.0734079867248345,1.1041817634136513,1.0100357696075744,1.0215433022206168,1.0286141224130207
1997 Q1,1.067900253799948,1.0409477069775188,1.0714212975840105,1.0111026763703763,1.0043458938347773,1.1010026857989388,1.1391467445697685,1.0100522116535202,1.031909080839536,1.042255399010048
1997 Q2,1.1014938345994936,1.0626146406772818,1.0995364038158744,1.0258182126701176,1.014033399102975,1.1395840957064918,1.18968153962018,1.0269594203727659,1.049866318084082,1.0657299963710212
1997 Q3,1.133413076603587,1.0830959232536226,1.1289582850255917,1.0326794445452272,1.0216184954449186,1.1842177848129891,1.2385696734624787,1.0342933302748156,1.0621494997443335,1.0803608821010255
1997 Q4,1.1653509129518442,1.1032370184808291,1.156574616093706,1.0464110307230514,1.043745738573131,1.2235464822639115,1.2791375912115184,1.0510152352736324,1.078722649719222,1.0988228047980415
1998 Q1,1.1873290970656585,1.1157758914083804,1.1786554304111212,1.0629640486418506,1.0475624539112691,1.2504495525970505,1.3084669604953538,1.0600466031164903,1.0883446636027174,1.110106766236609
1998 Q2,1.218195324474946,1.1360314667327247,1.2080393277783712,1.0755795547361302,1.0603694129923775,1.2882943115561307,1.3552479398839115,1.0692584883940892,1.1080734657627649,1.132515061325323
1998 Q3,1.247290252067627,1.1546761793841713,1.2360495052374416,1.0813909802182307,1.0715704189666773,1.3170054631353834,1.3917410015033085,1.0737138470699024,1.1180641754285021,1.1500383933937692
1998 Q4,1.267757170540547,1.1712376114983416,1.2558302764547216,1.0981961970177485,1.0809939291496342,1.3398680477280365,1.4115334899277159,1.095532954715134,1.135500771139399,1.1684420935414193
1999 Q1,1.2807004463387972,1.18361434864804,1.2701636168317796,1.1083560519037154,1.085792758338749,1.3527639117367418,1.4299681192412066,1.092480619223644,1.138761714716845,1.1772260997351307
1999 Q2,1.317548959675016,1.209546033438722,1.3079159359897965,1.1297062112430054,1.1026488826533312,1.396881225821641,1.4863724317063258,1.1121959828257373,1.1605763849691642,1.2058859606474481
